jour_mois,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,pressure_msl,surface_pressure,et0_fao_evapotranspiration,wind_speed_10m,wind_direction_10m,direct_radiation,direct_radiation_instant
01-01,4.145833333333333,93.36111111111111,3.1624999999999996,0.018055555555555557,1020.6999999999999,1015.9236111111111,0.008333333333333333,11.244444444444445,233.79166666666666,6.444444444444445,6.273611111111111
01-02,3.1680555555555556,87.15277777777777,1.101388888888889,0.03194444444444444,1017.9180555555556,1013.1486111111111,0.016944444444444443,12.691666666666666,203.19444444444446,14.819444444444445,14.169444444444444
01-03,4.263888888888889,88.31944444444444,2.447222222222222,0.24583333333333332,1012.998611111111,1008.2833333333333,0.016944444444444443,20.620833333333334,175.83333333333334,2.9305555555555554,2.576388888888889
01-04,3.3180555555555555,90.61111111111111,1.9152777777777779,0.13611111111111113,1011.1222222222223,1006.3958333333334,0.010138888888888888,17.058333333333334,188.02777777777777,0.3472222222222222,0.2833333333333333
01-05,2.0305555555555554,88.375,0.275,0.019444444444444445,1015.5083333333334,1010.7194444444444,0.013472222222222222,15.994444444444444,193.09722222222223,12.041666666666666,12.619444444444445
01-06,1.5138888888888888,89.11111111111111,-0.14444444444444443,0.05,1017.0958333333333,1012.2888888888889,0.011805555555555555,13.5125,260.52777777777777,12.027777777777779,11.802777777777779
01-07,1.2486111111111111,90.84722222222223,-0.08194444444444444,0.022222222222222223,1015.9027777777778,1011.0944444444444,0.009027777777777779,14.075,227.38888888888889,1.4861111111111112,1.6541666666666666
01-08,2.2750000000000004,90.81944444444444,0.9166666666666666,0.04027777777777777,1014.2722222222224,1009.4958333333333,0.011250000000000001,13.351388888888888,224.25,7.583333333333333,7.5569444444444445
01-09,3.1958333333333333,92.30555555555556,2.0569444444444445,0.09444444444444444,1011.8444444444444,1007.1166666666666,0.009305555555555556,12.520833333333334,217.66666666666666,1.1111111111111112,1.148611111111111
01-10,3.8291666666666666,90.79166666666667,2.404166666666667,0.04722222222222222,1019.4305555555555,1014.6777777777778,0.012638888888888889,12.676388888888889,224.97222222222223,6.527777777777778,5.913888888888889
01-11,0.9583333333333334,80.08333333333333,-2.1319444444444446,0.015277777777777779,1026.976388888889,1022.1291666666667,0.021388888888888888,14.743055555555555,203.625,10.708333333333334,11.430555555555555
01-12,1.6416666666666666,87.15277777777777,-0.3361111111111111,0.09861111111111112,1020.2722222222224,1015.4749999999999,0.016805555555555556,17.123611111111114,236.93055555555554,7.708333333333333,7.625
01-13,3.3763888888888887,88.90277777777777,1.7027777777777777,0.05555555555555555,1019.4263888888888,1014.6624999999999,0.015555555555555557,19.520833333333332,248.05555555555554,5.097222222222222,4.543055555555555
01-14,4.409722222222222,83.51388888888889,1.6749999999999998,0.04722222222222222,1018.1847222222223,1013.436111111111,0.026111111111111113,19.398611111111112,253.34722222222223,8.916666666666666,8.854166666666666
01-15,3.0180555555555557,78.34722222222223,-0.7097222222222221,0.005555555555555556,1022.2388888888888,1017.4402777777777,0.035416666666666666,14.805555555555555,268.6666666666667,18.708333333333332,18.866666666666667
01-16,1.8777777777777775,84.43055555555556,-0.5430555555555556,0.006944444444444444,1023.313888888889,1018.4833333333333,0.016805555555555556,13.416666666666666,243.69444444444446,14.13888888888889,14.020833333333334
01-17,1.7583333333333333,82.55555555555556,-0.9652777777777778,0.029166666666666667,1020.7194444444444,1015.9124999999999,0.020277777777777777,14.787500000000001,213.94444444444446,18.65277777777778,17.601388888888888
01-18,2.183333333333333,86.79166666666667,0.1305555555555556,0.07222222222222223,1025.052777777778,1020.2416666666666,0.016388888888888887,12.898611111111112,239.25,9.73611111111111,9.952777777777778
01-19,3.091666666666667,89.97222222222223,1.5777777777777777,0.14305555555555557,1021.3972222222224,1016.6208333333333,0.013472222222222222,15.269444444444446,249.02777777777777,8.625,8.8125
01-20,2.736111111111111,79.25,-0.6888888888888889,0.019444444444444445,1021.0222222222224,1016.2305555555556,0.03125,18.584722222222222,256.5138888888889,22.069444444444443,22.76111111111111
01-21,3.238888888888889,72.25,-1.5291666666666666,0.036111111111111115,1019.8874999999999,1015.1097222222221,0.04375,18.711111111111112,246.19444444444446,34.986111111111114,35.81527777777777
01-22,3.8819444444444446,83.98611111111111,1.2805555555555557,0.018055555555555557,1017.3944444444444,1012.6458333333334,0.024583333333333332,15.086111111111112,266.56944444444446,7.361111111111111,7.597222222222222
01-23,2.9166666666666665,93.09722222222223,1.8666666666666667,0.05416666666666667,1020.4972222222223,1015.7125000000001,0.010555555555555556,8.761111111111111,255.30555555555554,5.722222222222222,5.355555555555556
01-24,1.7569444444444444,93.77777777777777,0.8305555555555555,0.0625,1018.0,1013.2208333333333,0.010972222222222223,8.552777777777777,223.27777777777777,14.833333333333334,14.76388888888889
01-25,1.7222222222222223,90.95833333333333,0.39305555555555555,0.002777777777777778,1018.7277777777776,1013.9499999999999,0.010555555555555556,11.412500000000001,259.3333333333333,3.8333333333333335,3.826388888888889
01-26,1.0347222222222223,88.29166666666667,-0.7152777777777778,0.009722222222222222,1019.1180555555555,1014.3069444444445,0.014861111111111111,13.037500000000001,243.31944444444446,11.38888888888889,12.066666666666666
01-27,3.288888888888889,85.95833333333333,1.1097222222222223,0.023611111111111114,1012.7125000000001,1007.9694444444444,0.022916666666666665,18.416666666666668,228.0,20.02777777777778,19.675
01-28,3.3805555555555555,80.97222222222223,0.33888888888888885,0.12222222222222223,1007.0124999999999,1002.3027777777778,0.03097222222222222,19.545833333333334,255.48611111111111,23.708333333333332,24.095833333333335
01-29,2.2972222222222225,83.66666666666667,-0.23194444444444448,0.16805555555555554,1004.9402777777777,1000.2194444444444,0.02291666666666667,21.368055555555557,212.95833333333334,5.916666666666667,5.894444444444445
01-30,2.8277777777777775,78.77777777777777,-0.6569444444444444,0.13472222222222224,1006.9555555555556,1002.2277777777776,0.036111111111111115,21.893055555555556,253.70833333333334,19.944444444444443,19.718055555555555
01-31,1.7152777777777777,84.11111111111111,-0.7583333333333333,0.03333333333333333,1005.4541666666667,1000.7152777777778,0.025277777777777777,13.636111111111111,219.33333333333334,17.791666666666668,16.938888888888886
02-01,3.1666666666666665,80.55555555555556,-0.0388888888888889,0.16249999999999998,1002.5291666666667,997.8180555555555,0.02513888888888889,20.070833333333333,208.5,6.458333333333333,6.050000000000001
02-02,3.7569444444444446,83.33333333333333,1.0125000000000002,0.10833333333333334,1005.063888888889,1000.3722222222223,0.02986111111111111,18.702777777777776,244.97222222222223,4.333333333333333,3.734722222222222
02-03,5.147222222222222,92.41666666666667,3.994444444444445,0.26666666666666666,1006.6833333333333,1002.0083333333334,0.015416666666666669,12.945833333333333,215.08333333333334,7.319444444444445,7.427777777777777
02-04,3.888888888888889,86.84722222222223,1.8416666666666666,0.10277777777777779,1008.4041666666667,1003.6930555555555,0.02263888888888889,17.531944444444445,219.86111111111111,14.375,13.847222222222221
02-05,1.9791666666666667,77.88888888888889,-1.5597222222222222,0.06527777777777778,1020.1013888888889,1015.3152777777777,0.03375,20.480555555555554,218.70833333333334,29.041666666666668,28.041666666666668
02-06,2.4347222222222222,76.55555555555556,-1.3555555555555556,0.12916666666666668,1015.6055555555556,1010.8263888888889,0.03236111111111111,23.779166666666665,195.375,2.9027777777777777,2.851388888888889
02-07,0.8097222222222222,73.61111111111111,-3.5430555555555556,0.06527777777777778,1017.123611111111,1012.313888888889,0.034444444444444444,20.370833333333334,183.31944444444446,19.34722222222222,19.270833333333332
