jour_mois,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,pressure_msl,surface_pressure,et0_fao_evapotranspiration,wind_speed_10m,wind_direction_10m,direct_radiation,direct_radiation_instant
01-01,4.251388888888889,93.30555555555556,3.2583333333333333,0.018055555555555557,1020.6027777777776,1015.8291666666667,0.008333333333333333,11.38888888888889,234.56944444444446,6.444444444444445,6.273611111111111
01-02,3.1527777777777777,87.26388888888889,1.1069444444444445,0.03194444444444444,1018.1111111111111,1013.3402777777778,0.016666666666666666,12.529166666666667,204.98611111111111,14.819444444444445,14.169444444444444
01-03,4.202777777777778,88.44444444444444,2.401388888888889,0.24444444444444446,1013.1541666666667,1008.436111111111,0.016944444444444443,20.48611111111111,174.84722222222223,2.9305555555555554,2.576388888888889
01-04,3.413888888888889,90.51388888888889,1.9958333333333331,0.1375,1011.0847222222224,1006.3611111111111,0.010277777777777778,17.251388888888886,187.69444444444446,0.3472222222222222,0.2833333333333333
01-05,1.9749999999999999,88.5,0.24027777777777778,0.018055555555555557,1015.4055555555556,1010.6166666666666,0.013333333333333332,15.859722222222224,189.625,12.041666666666666,12.619444444444445
01-06,1.6472222222222221,88.76388888888889,-0.06388888888888888,0.05,1017.0736111111112,1012.2694444444444,0.012083333333333333,13.75,263.75,12.027777777777779,11.802777777777779
01-07,1.1916666666666667,90.95833333333333,-0.125,0.023611111111111114,1015.9402777777777,1011.1305555555555,0.009027777777777779,14.036111111111111,227.5,1.4861111111111112,1.6541666666666666
01-08,2.2444444444444445,90.81944444444444,0.8888888888888888,0.03888888888888889,1014.3708333333333,1009.5930555555556,0.011250000000000001,13.327777777777778,224.47222222222223,7.583333333333333,7.5569444444444445
01-09,3.088888888888889,92.19444444444444,1.9319444444444445,0.09444444444444444,1011.8222222222222,1007.0916666666667,0.009305555555555556,12.618055555555555,215.26388888888889,1.1111111111111112,1.148611111111111
01-10,3.9749999999999996,91.15277777777777,2.6055555555555556,0.04861111111111111,1018.9486111111112,1014.1999999999999,0.012361111111111111,12.413888888888888,227.375,6.527777777777778,5.913888888888889
01-11,0.9722222222222222,80.54166666666667,-2.0416666666666665,0.015277777777777779,1027.0194444444444,1022.1736111111111,0.020972222222222222,14.729166666666666,203.84722222222223,10.708333333333334,11.430555555555555
01-12,1.5416666666666667,86.68055555555556,-0.5111111111111111,0.09861111111111112,1020.4291666666666,1015.6305555555555,0.016944444444444443,16.977777777777778,234.40277777777777,7.708333333333333,7.625
01-13,3.4097222222222223,88.77777777777777,1.7166666666666666,0.049999999999999996,1019.5958333333333,1014.8319444444444,0.01597222222222222,19.516666666666666,248.79166666666666,5.097222222222222,4.543055555555555
01-14,4.356944444444444,83.80555555555556,1.6833333333333333,0.052777777777777785,1018.0041666666667,1013.2541666666667,0.025277777777777777,19.688888888888886,251.55555555555554,8.916666666666666,8.854166666666666
01-15,3.1069444444444443,78.625,-0.5847222222222223,0.005555555555555556,1022.1180555555555,1017.3222222222222,0.035555555555555556,14.919444444444444,270.18055555555554,18.708333333333332,18.866666666666667
01-16,1.8736111111111111,83.90277777777777,-0.6402777777777778,0.006944444444444444,1023.3902777777779,1018.5597222222223,0.017638888888888888,13.208333333333334,244.16666666666666,14.13888888888889,14.020833333333334
01-17,1.8180555555555555,82.56944444444444,-0.9055555555555556,0.029166666666666667,1020.6597222222222,1015.8527777777776,0.020138888888888887,14.906944444444443,214.875,18.65277777777778,17.601388888888888
01-18,2.0777777777777775,86.56944444444444,-0.009722222222222212,0.07083333333333335,1024.986111111111,1020.1736111111111,0.016527777777777777,12.822222222222223,237.40277777777777,9.73611111111111,9.952777777777778
01-19,3.013888888888889,90.15277777777777,1.5319444444444443,0.14027777777777778,1021.6361111111112,1016.8569444444444,0.013194444444444444,15.065277777777778,248.47222222222223,8.625,8.8125
01-20,2.8375000000000004,80.04166666666667,-0.4444444444444444,0.02361111111111111,1020.8986111111111,1016.1097222222221,0.03027777777777778,18.669444444444444,257.7916666666667,22.069444444444443,22.76111111111111
01-21,3.1458333333333335,71.625,-1.7361111111111112,0.029166666666666667,1020.1055555555556,1015.3263888888889,0.044444444444444446,18.706944444444446,245.93055555555554,34.986111111111114,35.81527777777777
01-22,4.048611111111111,83.61111111111111,1.3833333333333335,0.025,1017.2291666666666,1012.4833333333333,0.02513888888888889,15.462499999999999,266.4583333333333,7.361111111111111,7.597222222222222
01-23,2.863888888888889,93.02777777777777,1.802777777777778,0.05416666666666667,1020.5472222222221,1015.7611111111112,0.010555555555555556,8.841666666666667,256.2916666666667,5.722222222222222,5.355555555555556
01-24,1.7541666666666667,93.875,0.8416666666666667,0.061111111111111116,1018.0666666666667,1013.2861111111112,0.010972222222222223,8.445833333333333,221.88888888888889,14.833333333333334,14.76388888888889
01-25,1.738888888888889,91.01388888888889,0.42083333333333334,0.0041666666666666675,1018.6541666666667,1013.8777777777777,0.010555555555555556,11.316666666666666,259.875,3.8333333333333335,3.826388888888889
01-26,1.036111111111111,88.36111111111111,-0.7055555555555555,0.009722222222222222,1019.1999999999999,1014.3888888888889,0.014722222222222223,12.93611111111111,243.45833333333334,11.38888888888889,12.066666666666666
01-27,3.1861111111111113,86.26388888888889,1.0569444444444445,0.022222222222222223,1013.1374999999999,1008.3916666666667,0.022500000000000003,18.02777777777778,228.81944444444446,20.02777777777778,19.675
01-28,3.5083333333333333,81.0,0.4694444444444444,0.11249999999999999,1006.9569444444444,1002.248611111111,0.031111111111111114,19.77638888888889,254.04166666666666,23.708333333333332,24.095833333333335
01-29,2.213888888888889,83.72222222222223,-0.3013888888888889,0.175,1005.1319444444445,1000.4097222222222,0.02277777777777778,21.179166666666667,215.15277777777777,5.916666666666667,5.894444444444445
01-30,2.8833333333333333,78.68055555555556,-0.6166666666666667,0.13333333333333333,1006.8430555555556,1002.1152777777778,0.036111111111111115,22.191666666666666,251.30555555555554,19.944444444444443,19.718055555555555
01-31,1.7972222222222223,83.76388888888889,-0.734722222222222,0.03333333333333334,1005.4597222222224,1000.7236111111112,0.025694444444444447,13.702777777777778,221.29166666666666,17.791666666666668,16.938888888888886
02-01,2.976388888888889,81.09722222222223,-0.1388888888888889,0.16527777777777777,1002.8000000000001,998.0833333333334,0.024583333333333332,19.72361111111111,207.93055555555554,6.458333333333333,6.050000000000001
02-02,3.8291666666666666,82.69444444444444,0.9833333333333333,0.10277777777777779,1004.7319444444444,1000.0430555555556,0.030555555555555558,19.211111111111112,245.73611111111111,4.333333333333333,3.734722222222222
02-03,4.965277777777778,92.56944444444444,3.836111111111111,0.2708333333333333,1006.9097222222222,1002.2305555555556,0.015277777777777779,12.680555555555555,213.18055555555554,7.319444444444445,7.427777777777777
02-04,4.063888888888889,87.01388888888889,2.0374999999999996,0.1,1008.0,1003.2930555555556,0.022361111111111113,17.145833333333332,220.66666666666666,14.375,13.847222222222221
02-05,2.013888888888889,78.41666666666667,-1.4333333333333333,0.06944444444444445,1019.7666666666667,1014.9847222222221,0.03319444444444444,20.669444444444444,220.80555555555554,29.041666666666668,28.041666666666668
02-06,2.4458333333333333,76.63888888888889,-1.3194444444444444,0.12222222222222223,1015.9069444444444,1011.126388888889,0.0325,23.768055555555556,194.72222222222223,2.9027777777777777,2.851388888888889
02-07,0.8805555555555555,73.34722222222223,-3.522222222222222,0.07500000000000001,1016.8694444444445,1012.061111111111,0.034583333333333334,20.47222222222222,184.69444444444446,19.34722222222222,19.270833333333332
02-08,0.49444444444444435,79.06944444444444,-2.7972222222222225,0.09583333333333334,1016.9180555555556,1012.1111111111111,0.026388888888888892,18.522222222222222,164.875,22.22222222222222,21.891666666666666
02-09,2.1694444444444443,78.38888888888889,-1.3805555555555555,0.06388888888888888,1013.0986111111112,1008.3375000000001,0.04097222222222222,17.61111111111111,192.41666666666666,19.458333333333332,20.76111111111111
02-10,1.301388888888889,82.30555555555556,-1.4833333333333334,0.21805555555555556,1006.5444444444444,1001.8013888888888,0.03208333333333333,16.883333333333333,246.34722222222223,23.09722222222222,22.09027777777778
02-11,0.3347222222222222,79.98611111111111,-2.886111111111111,0.061111111111111116,1014.1402777777779,1009.3333333333334,0.03597222222222222,18.479166666666668,274.30555555555554,40.19444444444444,39.55555555555556
02-12,-2.023611111111111,77.43055555555556,-5.747222222222223,0.008333333333333335,1024.1513888888887,1019.2541666666667,0.042083333333333334,17.905555555555555,225.55555555555554,61.416666666666664,61.204166666666666
02-13,-0.5875,79.27777777777777,-3.894444444444444,0.030555555555555558,1022.6152777777778,1017.7416666666666,0.037222222222222226,15.458333333333334,232.94444444444446,51.93055555555556,53.30833333333334
02-14,0.6361111111111111,82.19444444444444,-2.3763888888888887,0.006944444444444444,1021.0694444444445,1016.2375000000001,0.037222222222222226,11.787500000000001,232.01388888888889,41.09722222222222,40.856944444444444
02-15,1.6319444444444444,80.19444444444444,-1.5569444444444445,0.04722222222222222,1021.0027777777777,1016.188888888889,0.034722222222222224,15.070833333333333,193.625,23.444444444444443,24.56388888888889
02-16,6.544444444444444,78.04166666666667,2.488888888888889,0.14861111111111114,1008.0597222222223,1003.3874999999999,0.05597222222222223,22.102777777777778,209.29166666666666,1.2361111111111112,1.1208333333333333
02-17,6.845833333333333,76.34722222222223,2.6805555555555554,0.11666666666666667,1005.2013888888889,1000.5555555555555,0.05555555555555555,24.956944444444446,248.97222222222223,11.694444444444445,11.62361111111111
02-18,5.915277777777778,77.76388888888889,2.163888888888889,0.08611111111111111,1011.3527777777776,1006.6611111111112,0.050833333333333335,20.8125,218.30555555555554,34.09722222222222,34.604166666666664
02-19,4.919444444444444,74.70833333333333,0.5388888888888889,0.12916666666666668,1011.1347222222222,1006.4277777777778,0.051388888888888894,23.693055555555556,240.83333333333334,30.63888888888889,29.58888888888889
